3407.21	319	-771	910	-70.57
3407.38	415	-1150	1295	-65.63
3407.55	512	-1250	1356	-78.10
3408.44	234	-1475	1561	-83.0
3408.70	194	-1633	1617	-83.26
3408.88	225	-1475	1470	-73.99
3409.06	430	-1375	1442	-73.32
3409.26	407	-1416	1463	-73.52
3409.43	400	-1241	1247	-68.80
3409.60	487	-1147	1301	-63.3
3409.77	654	-1197	1371	-57.56
3409.97	698	-1142	1304	-66.68
3410.13	459	-1181	1242	-71.57
3410.29	352	-1183	1210	-81.96
3410.23	96	-1163	1169	-84.39
3410.39	229	-1194	1291	-62.47
3410.56	742	-1221	1471	-59.85
3410.77	632	-1290	1360	-66.35
3410.94	534	-1128	1287	-67.11
3411.11	494	-1487	1645	-77.22
3411.32	365	-1408	1325	-69.61
3411.47	400	-1077	1112	-75.32
3411.67	287	-1079	1190	-67.44
3411.86	585	-1315	1486	-69.21
3412.08	297	-1295	1255	-100.60
3412.25	-332	-1197	1247	-103.99
3412.43	-256	-1271	1320	-103.4
3412.62	-386	-1188	1245	-123.4
3412.82	-756	-1046	1324	-119.66
3412.95	-558	-1239	1332	-112.78
3413.16	-626	-1256	1493	-119.38
3413.32	-721	-1294	1460	-119.2
3413.58	-733	-1304	1528	-119.54
3413.70	-729	-1346	1486	-112.76
3413.87	-547	-1360	1455	-111.14
3413.84	-539	-1353	1462	-113.16
3413.96	-587	-1346	1429	-108.84
3414.14	-346	-1313	1313	-91.80
3414.34	79	-1155	1107	-81.56
3414.56	90	-1010	1047	-99.64
3414.73	-259	-1138	1215	-110.97
3414.89	-490	-1194	1295	-111.93
3415.13	-448	-1169	1116	-99.25
3415.32	-117	-900	901	-96.79
3415.44	-124	-967	1043	-100.46
3415.60	-271	-1251	1339	-105.68
3416.04	-397	-1357	1414	-104.76
3416.29	-252	-1189	1083	-88.98
3416.50	84	-874	826	-88.82
3416.68	-56	-1057	1189	-97.86
3416.85	-175	-1240	1240	-94.87
3417.04	-54	-1157	1125	-88.31
